"id","province","city","type","carrier","product","directive","upward","downward","receiveMsg","reportAt","checked","remark","version","result","return_code"
"24616367","25","519","1","CMCC","30000","113","10086","10086","[""【套餐使用情况查询】尊敬的客户，您好！您各项套餐的准实时消费情况如下：\n-1、4G套餐8元（语音版）:国内主叫已使用5分钟，剩余25分钟；更多优惠流量套餐，详情点击：http:\/\/f.10086.cn\/s\/#nqxFr 【中国移动】""]","2021-03-30 06:23:54","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616331","25","513","1","CMCC","10000","113","10086","10086","[""尊敬的客户，您好！您未开通相关套餐，没有相关记录。您还可发送10086至10086 查询或办理更多业务与优惠活动。\n【中国移动】""]","2021-03-30 05:02:36","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616327","731","731","1","CMCC","0","CXTCLL","10086","10086","[""【流量查询】尊敬的全球通白金卡客户，您好！截至03月29日22时30分，您当前流量使用情况如下：\n1.和家庭融合套餐169融合套餐（家庭共享）：流量已使用18.43GB，当前未限速；\n详情请查询 https:\/\/dx.10086.cn\/O0TDCg。 和彩云网盘福利大派送，每月登录即可免费送2GB流量！超大容量云盘，微信文件、相册、视频安全备份，上传下载不限速。戳我立即登录： https:\/\/dx.10086.cn\/zl1GDQ 【中国移动】""]","2021-03-30 04:54:22","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616316","771","777","1","CMCC","10000","1034","10086","10086","[""【首月1元畅享35GB流量！点击 https:\/\/hfx.net\/i\/NdvXj 了解】\n\n尊敬的客户，本月各流量资源使用情况具体如下：\n【上月未清零流量情况】\n无\n【本月流量明细】1、98元移动20G大流量套餐（201903）_高速流量20G套餐\n总流量:20GB0.00MB\n剩余:0.00MB;\n2、大流量套餐-低速流量套餐\n总流量:500GB0.00MB\n剩余:500GB0.00MB;\n\n【流量共享情况】\n您本月可共享的流量剩余:4GB243.12MB\n副卡用户累计使用:0.00MB\n其中15878943681使用流量0.00MB,18278739011使用流量0.00MB。\n【中国移动】""]","2021-03-30 04:19:09","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616148","311","311","1","CMCC","0","5011","10086","10086","[""您好！中国移动为您免费提供139邮箱、飞信、彩云等移动互联基础服务。您可尽享邮件到达提醒、好友间免费短信、16G云存储等权益。查流量、查账单，可到河北移动APP，下载地址： http:\/\/dx.10086.cn\/khdapp 。【中国移动】""]","2021-03-30 00:24:08","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616034","371","375","1","CMCC","0","CXLL","10086","10086","[""【中国移动】您好！移动5G网络率先覆盖全省18个省辖市市区及各县城区。5G时代已来，换手机首选5G手机，买5G手机就到中国移动，5G手机性价比高、网速快、画质清，多款5G手机享直降优惠，详询移动营业厅或手机卖场。回复TD退订""]","2021-03-29 23:22:40","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616023","25","513","1","CMCC","0","113","10086","10086","[""【套餐使用情况查询】尊敬的客户，您好！您各项套餐的准实时消费情况如下：\n-1、任我用家庭版158元(全国版):国内主叫已使用89分钟，剩余211分钟；流量已使用13.68GB，当前未限速；\n-2、套外优惠流量(国内通用):流量已使用20.00GB,剩余0.00MB更多优惠流量套餐，详情点击：http:\/\/f.10086.cn\/s\/#nqxFr 【中国移动】""]","2021-03-29 23:18:41","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24615921","371","373","1","CMCC","30000","CXLL","10086","10086232","[""【流量提醒】尊敬的客户，截至03月29日21时05分，您03月：\n剩余总流量966.20MB，\n其他流量剩余966.20MB。\n查询每天流量使用情况和APP使用排行，请点击： https:\/\/f.10086.cn\/s\/#NCC23 \n【推荐您使用河南移动智慧生活APP，24小时不打烊！剩余流量随时查，每日、每月各大APP流量使用排行情况一手掌握，让您安心上网。点击 http:\/\/dx.10086.cn\/K0f3 下载】【中国移动】""]","2021-03-29 22:40:28","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24615862","551","552","1","CMCC","10000","66","10086","10086","[""【流量余量提醒】您好！截至03月29日17时19分，您本月已使用移动数据流量0.00M(其中共享他人流量893.29M)。点 ah.10086.cn\/dt\/khd 至移动惠生活APP查询更多内容。\r\n回复序号办理:\r\n6681.头条抖音包\r\n6688.视频会员随心包（首月1元）\r\n660.查询特殊流量\r\n6600.查看更多内容\r\n6680.1元享300分钟通话\r\n【中国移动】""]","2021-03-29 22:21:42","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24615679","731","738","1","CMCC","0","CXTCLL","10086","10086","[""【流量查询】尊敬的客户，您好！截至03月29日20时57分，您当前流量使用情况如下：\n1.98元国内放心用融合套餐：流量已使用50.49GB，当前已限速；\n详情请查询 https:\/\/dx.10086.cn\/O0TDCg。 和彩云网盘福利大派送，每月登录即可免费送2GB流量！超大容量云盘，微信文件、相册、视频安全备份，上传下载不限速。戳我立即登录： https:\/\/dx.10086.cn\/zl1GDQ 【中国移动】""]","2021-03-29 21:28:42","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
